sj,sj@gmail.com,123456,skudai,cs
dave,dave@gmail.com,123456,subang,cs
chua,chua,123456,kluang,cs
terara,tera@gmail.com,,kepong,lalamoi
sams,sams@gmail.com,123456,jb,cs
pk,cpk@gmail.com,123456,penang,bza
austin,austin@gmail.com,123456,kl ,cs
eeann,ean@gmail.com,123456,penang,bme
cj,cj@gmail.com,123456,ipoh,me
cu,cu@gmail.com,123456,jb,cs
joanne ,joa@gmail.com,123456,kl,cs
jieshi,jieshi@gmail.com,123456,ipoh,cnm
jiemin,jm@gmail.com,123456,seremban ,ls
yiwern,yw@gmail.com,123456,rawang,cs
ziyi,zy@gmail.com,123456,jb,cs
chengxin,cx@gmail.com,123456,penang,me
szejean,sj@gmail.com,123456,kl,bz
ruvy,rv@gmail.com,123456,muar,acct
